,retweets
650,1573
651,4018
652,1673
653,19730
654,8913
655,3562
656,20787
657,2931
658,3861
659,2368
660,3820
661,1992
662,4394
663,2147
664,1808
665,6654
666,1770
667,2960
668,3315
669,2147
670,3841
671,3889
672,1651
673,1797
674,3161
675,2140
676,4594
677,2450
678,2609
679,11720
680,9672
681,6671
682,4932
683,1981
684,1202
685,3217
686,1231
687,2842
688,2588
689,2670
690,1628
691,6302
692,7435
693,2276
694,5735
695,2366
696,2921
697,3222
698,2650
699,4384
700,148
701,6506
702,2992
703,1674
704,2106
705,1843
706,1166
707,1520
708,4503
709,3013
710,2368
711,1184
712,7483
713,10371
714,10059
715,1830
716,2992
717,2076
718,5097
719,5149
720,10892
721,2021
722,6893
723,1319
724,5019
725,1767
726,5130
727,5742
728,3139
729,2529
730,1053
731,5149
732,2385
733,1930
734,2585
735,6752
736,1868
737,1201
738,3127
739,1628
740,3427
741,103
742,1004
743,2089
744,2138
745,4572
746,6506
747,2890
748,17037
749,4212
750,6662
751,9163
752,338
753,1208
754,1392
755,943
756,4010
757,11347
758,1019
759,3064
760,2467
761,1494
762,3272
763,1517
764,2727
765,3923
766,2343
767,3987
768,12614
769,1114
770,2562
771,8467
772,14743
773,2336
774,4028
775,141
776,15549
777,2466
778,3701
779,4281
780,2716
781,3628
782,4375
783,1656
784,1616
785,5093
786,3588
787,1629
788,1498
789,1225
790,5700
791,4676
792,6954
793,3007
794,3808
795,3580
796,2211
797,3120
798,1588
799,1291
800,1054
801,688
802,440
803,866
804,1757
805,3143
806,2422
807,4676
808,6898
809,2711
810,1337
811,1539
812,1105
813,1328
814,1669
815,1928
816,1356
817,2818
818,2126
819,8840
820,1564
821,7132
822,1601
823,6004
824,2444
825,827
826,1099
827,1189
828,5389
829,3163
830,3272
831,1266
832,4962
833,2152
834,3480
835,2649
836,1260
837,348
838,730
839,1459
840,1735
841,2424
842,776
843,461
844,1997
845,1133
846,3119
847,2007
848,3120
849,1650
850,1394
851,50
852,3820
853,1359
854,2754
855,2125
856,3315
857,5923
858,3841
859,1030
860,14314
861,1830
862,3590
863,794
864,26774
865,1102
866,16669
867,1342
868,1001
869,1447
870,3217
871,890
872,1753
873,1190
874,3349
875,1288
876,10581
877,798
878,1655
879,28
880,1934
881,1800
882,1763
883,1105
884,2276
885,454
886,1804
887,1067
888,3829
889,1851
890,843
891,3558
892,1500
893,916
894,2030
895,1767
896,966
897,9163
898,339
899,3030
900,7215
901,1113
902,1010
903,278
904,959
905,6329
906,1580
907,1302
908,1835
909,1842
910,1193
911,3305
912,1005
913,16335
914,1408
915,2634
916,4915
917,10200
918,7251
919,2312
920,478
921,1794
922,672
923,2164
924,1998
925,3239
926,1733
927,2138
928,5216
929,961
930,19210
931,878
932,6302
933,1444
934,2620
935,1462
936,1425
937,2089
938,3157
939,1010
940,14908
941,1674
942,832
943,1202
944,1790
945,2621
946,2833
947,1005
948,1148
949,925
950,5398
951,1667
952,1188
953,1252
954,4594
955,1056
956,3923
957,1042
958,27
959,877
960,1184
961,1213
962,777
963,493
964,3038
965,822
966,568
967,721
968,821
969,758
970,2279
971,1213
972,1518
973,493
974,3158
975,2051
976,1890
977,1408
978,731
979,3137
980,2064
981,879
982,1460
983,1229
984,1814
985,611
986,1124
987,3741
988,695
989,656
990,7125
991,1959
992,2361
993,882
994,677
995,1061
996,144
997,5341
998,523
999,951
1000,1478
1001,950
1002,1753
1003,2638
1004,1444
1005,833
1006,3631
1007,271
1008,1953
1009,1597
1010,1467
1011,3562
1012,1642
1013,1748
1014,901
1015,991
1016,1491
1017,2005
1018,742
1019,965
1020,2132
1021,2313
1022,2207
1023,2486
1024,3188
1025,2056
1026,569
1027,2450
1028,1442
1029,1937
1030,70761
1031,327
1032,1005
1033,881
1034,1874
1035,1270
1036,5967
1037,862
1038,3420
1039,1124
1040,1745
1041,1238
1042,3285
1043,1797
1044,3610
1045,3427
1046,1780
1047,1249
1048,1402
1049,1388
1050,2504
1051,748
1052,2926
1053,5031
1054,2818
1055,2478
1056,865
1057,710
1058,6223
1059,12146
1060,389
1061,798
1062,1791
1063,5389
1064,988
1065,791
1066,1242
1067,1496
1068,19288
1069,2644
1070,52914
1071,6
1072,1046
1073,723
1074,1401
1075,744
1076,1109
1077,3043
1078,587
1079,1611
1080,3178
1081,1203
1082,4069
1083,736
1084,6761
1085,1544
1086,6671
1087,1118
1088,2551
1089,2711
1090,1038
1091,1016
1092,2146
1093,4554
1094,803
1095,885
1096,472
1097,5767
1098,489
1099,355
1100,718
1101,932
1102,855
1103,1141
1104,15549
1105,484
1106,801
1107,713
1108,2288
1109,4886
1110,904
1111,1145
1112,1792
1113,1919
1114,941
1115,960
1116,1710
1117,1018
1118,339
1119,1128
1120,2100
1121,288
1122,742
1123,1547
1124,618
1125,949
1126,1827
1127,880
1128,1086
1129,1516
1130,993
1131,577
1132,1592
1133,1089
1134,673
1135,747
1136,1247
1137,1202
1138,2213
1139,1372
1140,920
1141,1044
1142,2424
1143,1250
1144,1609
1145,557
1146,1172
1147,568
1148,1515
1149,1623
1150,513
1151,1395
1152,1129
1153,2650
1154,816
1155,1695
1156,1443
1157,1496
1158,1649
1159,552
1160,700
1161,571
1162,1367
1163,2270
1164,882
1165,1021
1166,1822
1167,1600
1168,1302
1169,1717
1170,692
1171,1122
1172,861
1173,986
1174,1587
1175,7255
1176,430
1177,927
1178,480
1179,1384
1180,448
1181,915
1182,545
1183,990
1184,1667
1185,408
1186,761
1187,1746
1188,872
1189,1051
1190,1459
1191,397
1192,5326
1193,191
1194,969
1195,1712
1196,796
1197,1293
1198,1536
1199,515
1200,1171
1201,1449
1202,1414
1203,627
1204,591
1205,1691
1206,1107
1207,937
1208,3847
1209,1284
1210,901
1211,834
1212,1013
1213,672
1214,764
1215,802
1216,1285
1217,724
1218,486
1219,665
1220,1244
1221,1190
1222,2600
1223,1337
1224,6103
1225,4521
1226,1103
1227,1423
1228,24
1229,940
1230,814
1231,438
1232,570
1233,122
1234,2098
1235,912
1236,3705
1237,16669
1238,823
1239,1020
1240,680
1241,560
1242,1267
1243,614
1244,477
1245,515
1246,2164
1247,1702
1248,672
1249,482
1250,1146
1251,1019
1252,814
1253,807
1254,1785
1255,996
1256,92
1257,1092
1258,1077
1259,976
1260,219
1261,520
1262,617
1263,523
1264,5197
1265,591
1266,611
1267,367
1268,1483
1269,595
1270,806
1271,452
1272,6274
1273,744
1274,641
1275,619
1276,733
1277,9098
1278,1201
1279,678
1280,1415
1281,786
1282,899
1283,502
1284,1754
1285,1018
1286,2
1287,870
1288,875
1289,558
1290,2209
1291,920
1292,788
1293,5742
1294,636
1295,546
1296,1151
1297,979
1298,580
1299,713
1300,619
1301,720
1302,1227
1303,546
1304,7132
1305,528
1306,896
1307,990
1308,582
1309,1299
1310,932
1311,844
1312,7157
1313,439
1314,852
1315,2007
1316,1459
1317,346
1318,666
1319,800
1320,497
1321,469
1322,1035
1323,833
1324,1465
1325,1526
1326,679
1327,716
1328,476
1329,556
1330,1019
1331,477
1332,1371
1333,900
1334,2638
1335,908
1336,71
1337,983
1338,3238
1339,314
1340,413
1341,521
1342,845
1343,405
1344,1025
1345,602
1346,1386
1347,1225
1348,624
1349,1035
1350,347
1351,495
1352,2810
1353,11347
1354,655
1355,413
1356,966
1357,509
1358,3145
1359,875
1360,1388
1361,956
1362,696
1363,1229
1364,894
1365,933
1366,1259
1367,1512
1368,416
1369,841
1370,552
1371,4645
1372,511
1373,560
1374,453
1375,863
1376,8467
1377,723
1378,524
1379,1627
1380,657
1381,611
1382,2444
1383,615
1384,532
1385,1206
1386,851
1387,470
1388,1112
1389,541
1390,4168
1391,2402
1392,468
1393,290
1394,573
1395,395
1396,784
1397,568
1398,576
1399,1081
1400,1627
1401,1094
1402,879
1403,832
1404,556
1405,621
1406,337
1407,315
1408,561
1409,397
1410,873
1411,1801
1412,5464
1413,678
1414,307
1415,1175
1416,618
1417,1059
1418,498
1419,926
1420,1136
1421,455
1422,997
1423,604
1424,1276
1425,1720
1426,909
1427,1059
1428,618
1429,941
1430,621
1431,1631
1432,643
1433,329
1434,838
1435,588
1436,1573
1437,127
1438,930
1439,1056
1440,588
1441,1056
1442,709
1443,666
1444,1900
1445,1658
1446,3261
1447,1305
1448,552
1449,998
1450,530
1451,718
1452,824
1453,841
1454,13114
1455,251
1456,545
1457,432
1458,451
1459,1860
1460,844
1461,926
1462,360
1463,331
1464,523
1465,115
1466,379
1467,723
1468,339
1469,1785
1470,223
1471,572
1472,1126
1473,735
1474,452
1475,673
1476,2906
1477,552
1478,406
1479,700
1480,791
1481,540
1482,720
1483,799
1484,3312
1485,1397
1486,1238
1487,370
1488,198
1489,3146
1490,750
1491,722
1492,355
1493,1134
1494,873
1495,1499
1496,3839
1497,889
1498,461
1499,502
1500,1028
1501,755
1502,6932
1503,602
1504,797
1505,307
1506,2621
1507,1120
1508,1757
1509,911
1510,1158
1511,469
1512,751
1513,250
1514,14
1515,549
1516,406
1517,764
1518,796
1519,466
1520,370
1521,925
1522,664
1523,1539
1524,329
1525,409
1526,410
1527,624
1528,1046
1529,689
1530,852
1531,3489
1532,581
1533,5032
1534,406
1535,1301
1536,852
1537,1005
1538,642
1539,225
1540,978
1541,900
1542,458
1543,774
1544,708
1545,711
1546,622
1547,326
1548,170
1549,605
1550,627
1551,661
1552,4089
