,tweet_id,retweets
0,892420643555336193,33807
1,892177421306343426,29330
2,891815181378084864,22052
3,891689557279858688,36938
4,891327558926688256,35308
5,891087950875897856,17812
6,890971913173991426,10363
7,890729181411237888,56865
8,890609185150312448,24525
9,890240255349198849,27963
10,890006608113172480,27037
11,889880896479866881,24569
12,889665388333682689,42050
13,889638837579907072,23678
14,889531135344209921,13353
15,889278841981685760,22120
16,888917238123831296,25640
17,888804989199671297,22467
18,888554962724278272,17315
19,888078434458587136,19152
20,887705289381826560,26628
21,887517139158093824,40725
22,887473957103951883,60192
23,887343217045368832,29593
24,887101392804085760,26985
25,886983233522544640,30386
26,886736880519319552,10501
27,886680336477933568,19737
28,886366144734445568,18547
29,886267009285017600,105
30,886258384151887873,24528
31,886054160059072513,0
32,885984800019947520,28612
33,885528943205470208,31602
34,885518971528720385,18006
35,885311592912609280,0
36,885167619883638784,19258
37,884925521741709313,67286
38,884876753390489601,24384
39,884562892145688576,21323
40,884441805382717440,23867
41,884247878851493888,63312
42,884162670584377345,17946
43,883838122936631299,19176
44,883482846933004288,40216
45,883360690899218434,19952
46,883117836046086144,32519
47,882992080364220416,20986
48,882762694511734784,24799
49,882627270321602560,24602
50,882268110199369728,39203
51,882045870035918850,25729
52,881906580714921986,21444
53,881666595344535552,44561
54,881633300179243008,113
55,881536004380872706,43446
56,881268444196462592,20480
57,880935762899988482,15052
58,880872448815771648,18712
59,880465832366813184,25031
60,880221127280381952,23677
61,880095782870896641,24342
62,879862464715927552,19702
63,879674319642796034,282
64,879492040517615616,20712
65,879415818425184262,92878
66,879376492567855104,14859
67,879130579576475649,0
68,879050749262655488,19816
69,879008229531029506,16786
70,878776093423087618,17140
71,878604707211726852,26445
72,878404777348136964,0
73,878316110768087041,0
74,878281511006478336,6780
75,878057613040115712,37153
76,877736472329191424,69301
77,877611172832227328,0
78,877556246731214848,19909
79,877316821321428993,24154
80,877201837425926144,23865
81,876838120628539392,18214
82,876537666061221889,21028
83,876484053909872640,16570
84,876120275196170240,24690
85,875747767867523072,22116
86,875144289856114688,19421
87,875097192612077568,24247
88,875021211251597312,22545
89,874680097055178752,24606
90,874434818259525634,0
91,874296783580663808,22968
92,874057562936811520,20119
93,874012996292530176,30127
94,873580283840344065,21386
95,873337748698140672,0
96,873213775632977920,6323
97,872967104147763200,24084
98,872820683541237760,13071
99,872620804844003328,18329
100,872486979161796608,36099
101,872122724285648897,30235
102,871879754684805121,33114
103,871762521631449091,17892
